taxa;biome_0
Gentiana_acaulis;5
Gentiana_albomarginata;2
Gentiana_algida;5
Gentiana_alsinoides;0
Gentiana_altaica;5
Gentiana_altorum;3
Gentiana_amplicrater;3
Gentiana_andrewsii;0
Gentiana_angulosa;5
Gentiana_angustifolia;5
Gentiana_anisostemon;2
Gentiana_aperta;3
Gentiana_aquatica;5
Gentiana_arethusae;6
Gentiana_arisanensis;3
Gentiana_aristata;6
Gentiana_asclepiadea;2
Gentiana_asterocalyx;0
Gentiana_atlantica;3
Gentiana_atropurpurea;3
Gentiana_atuntsiensis;5
Gentiana_austromontana;0
Gentiana_baeuerlenii;0
Gentiana_bavarica;3
Gentiana_bella;5
Gentiana_bicuspidata;0
Gentiana_boryi;5
Gentiana_brachyphylla;3
Gentiana_bredboensis;0
Gentiana_brentae;3
Gentiana_burseri;6
Gentiana_cachemirica;6
Gentiana_caelestis;3
Gentiana_calycosa;5
Gentiana_capitata;2
Gentiana_carinicostata;5
Gentiana_cephalantha;2
Gentiana_cephalodes;0
Gentiana_choanantha;5
Gentiana_cinereifolia;5
Gentiana_clausa;0
Gentiana_clusii;5
Gentiana_conduplicata;3
Gentiana_crassicaulis;2
Gentiana_crassula;5
Gentiana_crassuloides;5
Gentiana_cruciata;2
Gentiana_cruttwellii;1
Gentiana_cuneibarba;2
Gentiana_curviphylla;2
Gentiana_dahurica;5
Gentiana_davidi;0
Gentiana_decora;0
Gentiana_decumbens;2
Gentiana_delavayi;2
Gentiana_deltoidea;5
Gentiana_depressa;3
Gentiana_dinarica;1
Gentiana_dolichocalyx;5
Gentiana_douglasiana;6
Gentiana_duclouxii;0
Gentiana_emodi;3
Gentiana_epichysantha;0
Gentiana_ettingshausenii;6
Gentiana_faucipilosa;0
Gentiana_flavomaculata;0
Gentiana_flexicaulis;2
Gentiana_forrestii;5
Gentiana_franchetiana;0
Gentiana_frigida;3
Gentiana_froelichii;5
Gentiana_futtereri;5
Gentiana_gelida;5
Gentiana_glauca;5
Gentiana_grandiflora;5
Gentiana_grata;2
Gentiana_handeliana;5
Gentiana_haynaldii;5
Gentiana_heleonastes;3
Gentiana_hesseliana;0
Gentiana_hexaphylla;3
Gentiana_hyalina;3
Gentiana_intricata;0
Gentiana_itzershanensis;5
Gentiana_jamesii;0
Gentiana_kaohsiungensis;0
Gentiana_karelinii;5
Gentiana_kauffmanniana;2
Gentiana_krylovii;6
Gentiana_lacerulata;3
Gentiana_latidens;0
Gentiana_lawrencei;3
Gentiana_leucomelaena;3
Gentiana_lhassica;3
Gentiana_ligustica;1
Gentiana_linearis;1
Gentiana_lineolata;2
Gentiana_linoides;3
Gentiana_loureiroi;0
Gentiana_lutea;2
Gentiana_lycopodioides;2
Gentiana_macgregoryi;5
Gentiana_macrauchena;6
Gentiana_macrophylla;2
Gentiana_maeulchanensis;0
Gentiana_mairei;6
Gentiana_manshurica;0
Gentiana_micantiformis;3
Gentiana_mirandae;0
Gentiana_monochroa;3
Gentiana_nanobella;6
Gentiana_nerterifolia;1
Gentiana_newberryi;6
Gentiana_nivalis;5
Gentiana_nubigena;3
Gentiana_occidentalis;5
Gentiana_officinalis;2
Gentiana_olgae;1
Gentiana_olivieri;2
Gentiana_orbicularis;3
Gentiana_oreodoxa;3
Gentiana_ornata;3
Gentiana_oschtenica;5
Gentiana_pachyphylla;1
Gentiana_pannonica;2
Gentiana_panthaica;0
Gentiana_papillosa;0
Gentiana_paradoxa;2
Gentiana_parryi;6
Gentiana_pedata;0
Gentiana_pedicellata;0
Gentiana_penetii;5
Gentiana_phyllocalyx;3
Gentiana_piasezkii;2
Gentiana_pneumonanthe;0
Gentiana_praeclara;2
Gentiana_praticola;0
Gentiana_producta;1
Gentiana_prolata;5
Gentiana_prostrata;5
Gentiana_pseudosquarrosa;5
Gentiana_puberulenta;0
Gentiana_pubigera;0
Gentiana_pumila;5
Gentiana_punctata;5
Gentiana_purpurea;1
Gentiana_pyrenaica;5
Gentiana_rigescens;0
Gentiana_robusta;5
Gentiana_rostanii;5
Gentiana_rubicunda;0
Gentiana_rubricaulis;0
Gentiana_salpinx;0
Gentiana_saponaria;0
Gentiana_scabra;0
Gentiana_scabrida;6
Gentiana_sceptrum;0
Gentiana_schleicheri;3
Gentiana_sedifolia;3
Gentiana_septemfida;5
Gentiana_sikokiana;0
Gentiana_simulatrix;5
Gentiana_sino-ornata;6
Gentiana_siphonantha;5
Gentiana_spathacea;0
Gentiana_spathulifolia;5
Gentiana_squarrosa;6
Gentiana_stellata;3
Gentiana_stellulata;5
Gentiana_stipitata;5
Gentiana_straminea;5
Gentiana_striolata;3
Gentiana_suborbisepala;6
Gentiana_syringea;2
Gentiana_szechenyii;5
Gentiana_tarokoensis;0
Gentiana_tatsienensis;6
Gentiana_tentyoensis;0
Gentiana_tergestina;2
Gentiana_terglouensis;5
Gentiana_tetraphylla;3
Gentiana_tetrasticha;3
Gentiana_tianschanica;6
Gentiana_tibetica;0
Gentiana_tongolensis;3
Gentiana_trichotoma;5
Gentiana_triflora;0
Gentiana_urnula;3
Gentiana_utriculosa;1
Gentiana_veitchiorum;6
Gentiana_verna;6
Gentiana_vernayi;3
Gentiana_waltonii;5
Gentiana_walujewii;0
Gentiana_wingecarribiensis;0
Gentiana_wissmannii;0
Gentiana_yokusai;0
Gentiana_yunnanensis;0
Gentiana_zekuensis;3
Gentiana_zollingeri;0
