taxa;state
Gentiana_acaulis;19
Gentiana_albomarginata;4
Gentiana_algida;19
Gentiana_alsinoides;0
Gentiana_altaica;27
Gentiana_altorum;15
Gentiana_amplicrater;15
Gentiana_andrewsii;0
Gentiana_angulosa;19
Gentiana_angustifolia;19
Gentiana_anisostemon;14
Gentiana_aperta;15
Gentiana_aquatica;19
Gentiana_arethusae;20
Gentiana_arisanensis;15
Gentiana_aristata;20
Gentiana_asclepiadea;4
Gentiana_asterocalyx;0
Gentiana_atlantica;15
Gentiana_atropurpurea;15
Gentiana_atuntsiensis;27
Gentiana_austromontana;1
Gentiana_baeuerlenii;0
Gentiana_bavarica;15
Gentiana_bella;27
Gentiana_bicuspidata;0
Gentiana_boryi;19
Gentiana_brachyphylla;15
Gentiana_bredboensis;0
Gentiana_brentae;15
Gentiana_burseri;28
Gentiana_cachemirica;20
Gentiana_caelestis;15
Gentiana_calycosa;19
Gentiana_capitata;4
Gentiana_carinicostata;19
Gentiana_cephalantha;6
Gentiana_cephalodes;2
Gentiana_choanantha;19
Gentiana_cinereifolia;19
Gentiana_clausa;2
Gentiana_clusii;19
Gentiana_conduplicata;15
Gentiana_crassicaulis;6
Gentiana_crassula;19
Gentiana_crassuloides;19
Gentiana_cruciata;4
Gentiana_cruttwellii;3
Gentiana_cuneibarba;14
Gentiana_curviphylla;4
Gentiana_dahurica;19
Gentiana_davidi;0
Gentiana_decora;1
Gentiana_decumbens;4
Gentiana_delavayi;4
Gentiana_deltoidea;19
Gentiana_depressa;15
Gentiana_dinarica;3
Gentiana_dolichocalyx;19
Gentiana_douglasiana;20
Gentiana_duclouxii;0
Gentiana_emodi;15
Gentiana_epichysantha;1
Gentiana_ettingshausenii;20
Gentiana_faucipilosa;2
Gentiana_flavomaculata;0
Gentiana_flexicaulis;4
Gentiana_forrestii;19
Gentiana_franchetiana;0
Gentiana_frigida;15
Gentiana_froelichii;19
Gentiana_futtereri;27
Gentiana_gelida;19
Gentiana_glauca;19
Gentiana_grandiflora;27
Gentiana_grata;4
Gentiana_handeliana;19
Gentiana_haynaldii;27
Gentiana_heleonastes;15
Gentiana_hesseliana;2
Gentiana_hexaphylla;15
Gentiana_hyalina;15
Gentiana_intricata;2
Gentiana_itzershanensis;19
Gentiana_jamesii;0
Gentiana_kaohsiungensis;0
Gentiana_karelinii;19
Gentiana_kauffmanniana;4
Gentiana_krylovii;20
Gentiana_lacerulata;15
Gentiana_latidens;0
Gentiana_lawrencei;15
Gentiana_leucomelaena;15
Gentiana_lhassica;15
Gentiana_ligustica;3
Gentiana_linearis;3
Gentiana_lineolata;14
Gentiana_linoides;15
Gentiana_loureiroi;2
Gentiana_lutea;4
Gentiana_lycopodioides;4
Gentiana_macgregoryi;19
Gentiana_macrauchena;29
Gentiana_macrophylla;12
Gentiana_maeulchanensis;2
Gentiana_mairei;30
Gentiana_manshurica;0
Gentiana_micantiformis;15
Gentiana_mirandae;1
Gentiana_monochroa;15
Gentiana_nanobella;20
Gentiana_nerterifolia;7
Gentiana_newberryi;20
Gentiana_nivalis;19
Gentiana_nubigena;15
Gentiana_occidentalis;19
Gentiana_officinalis;4
Gentiana_olgae;3
Gentiana_olivieri;4
Gentiana_orbicularis;15
Gentiana_oreodoxa;15
Gentiana_ornata;15
Gentiana_oschtenica;19
Gentiana_pachyphylla;3
Gentiana_pannonica;4
Gentiana_panthaica;2
Gentiana_papillosa;0
Gentiana_paradoxa;4
Gentiana_parryi;30
Gentiana_pedata;0
Gentiana_pedicellata;0
Gentiana_penetii;19
Gentiana_phyllocalyx;15
Gentiana_piasezkii;14
Gentiana_pneumonanthe;0
Gentiana_praeclara;14
Gentiana_praticola;2
Gentiana_producta;3
Gentiana_prolata;19
Gentiana_prostrata;19
Gentiana_pseudosquarrosa;19
Gentiana_puberulenta;0
Gentiana_pubigera;0
Gentiana_pumila;19
Gentiana_punctata;19
Gentiana_purpurea;3
Gentiana_pyrenaica;19
Gentiana_rigescens;2
Gentiana_robusta;19
Gentiana_rostanii;19
Gentiana_rubicunda;2
Gentiana_rubricaulis;2
Gentiana_salpinx;1
Gentiana_saponaria;2
Gentiana_scabra;2
Gentiana_scabrida;20
Gentiana_sceptrum;0
Gentiana_schleicheri;15
Gentiana_sedifolia;15
Gentiana_septemfida;19
Gentiana_sikokiana;1
Gentiana_simulatrix;19
Gentiana_sino-ornata;20
Gentiana_siphonantha;19
Gentiana_spathacea;2
Gentiana_spathulifolia;19
Gentiana_squarrosa;20
Gentiana_stellata;15
Gentiana_stellulata;19
Gentiana_stipitata;19
Gentiana_straminea;27
Gentiana_striolata;15
Gentiana_suborbisepala;20
Gentiana_syringea;4
Gentiana_szechenyii;19
Gentiana_tarokoensis;2
Gentiana_tatsienensis;20
Gentiana_tentyoensis;0
Gentiana_tergestina;4
Gentiana_terglouensis;19
Gentiana_tetraphylla;15
Gentiana_tetrasticha;15
Gentiana_tianschanica;30
Gentiana_tibetica;0
Gentiana_tongolensis;15
Gentiana_trichotoma;27
Gentiana_triflora;2
Gentiana_urnula;15
Gentiana_utriculosa;3
Gentiana_veitchiorum;20
Gentiana_verna;20
Gentiana_vernayi;15
Gentiana_waltonii;27
Gentiana_walujewii;0
Gentiana_wingecarribiensis;0
Gentiana_wissmannii;0
Gentiana_yokusai;2
Gentiana_yunnanensis;2
Gentiana_zekuensis;15
Gentiana_zollingeri;2
